epsilon,pAcc,t,ts,rhos,weight,nest_quality_assessment_error,percentage_foragers,number_nests_dbl,exploring_phase_dbl
15.811388300842,0.000000000000,2044,1154,2.449489742783,2.137041003787,21.797754896232,3.754011559298,32.441385558206,4951.685047813391
15.811388300842,0.000000000000,2044,1101,2.828427124746,1.280897094009,32.406334543557,83.627462610161,3.206709683260,3502.376038639277
15.811388300842,0.000000000000,2044,52,3.741657386774,1.000000000000,4.888885047532,27.063982852249,3.174658476297,1723.847357208147
15.811388300842,0.000000000000,2044,81,3.741657386774,1.000000000000,28.364196044415,7.991910420236,7.928309001168,4764.340824748564
15.811388300842,0.000000000000,2044,386,3.741657386774,2.500716806499,29.946238579570,5.429052721483,20.762316476556,4856.765340429251
15.811388300842,0.000000000000,2044,452,3.741657386774,1.087506987455,27.885392435217,28.437925049555,3.357977105988,3069.483897554127
15.811388300842,0.000000000000,2044,484,3.741657386774,1.033349708861,25.317719587317,72.561413621438,3.323723253383,2771.468667610561
15.811388300842,0.000000000000,2044,374,4.242640687119,1.080989088471,21.067209470882,65.708590697753,3.410966424074,2971.208513875330
15.811388300842,0.000000000000,2044,1306,4.242640687119,1.953775323810,9.309342033540,49.124570891876,3.390760907113,2039.048283358850
15.811388300842,0.000000000000,2044,633,5.099019513593,1.555966083529,24.610966465707,4.716165116231,33.613694602627,4500.351655550092
15.811388300842,0.000000000000,2044,918,5.099019513593,2.060911106336,0.370820176918,7.338719117885,71.061916918736,3807.613208472931
15.811388300842,0.000000000000,2044,1001,5.099019513593,1.893783046032,10.830317390319,3.316703978255,73.171018035504,4247.850880872391
15.811388300842,0.000000000000,2044,589,6.164414002969,1.509810239635,31.872175585116,70.151843900295,3.196804817369,2285.149688047573
15.811388300842,0.000000000000,2044,1242,6.164414002969,1.078086452031,26.812321068473,27.544748181201,4.910274470503,3595.231691368108
15.811388300842,0.000000000000,2044,1850,6.324555320337,1.590776019824,29.847495370343,13.303553828303,78.396943407273,3657.619353310298
15.811388300842,0.000000000000,2044,1933,6.324555320337,2.160580885496,14.773503268300,93.680466106555,72.783635441298,4249.784568419786
15.811388300842,0.000000000000,2044,1098,6.480740698408,2.545377871346,47.856489555450,98.528293846626,70.113356909999,3927.992720905761
15.811388300842,0.000000000000,2044,1335,6.480740698408,2.125774520978,2.391536956795,68.459188447461,3.270711770454,2273.944981576621
15.811388300842,0.000000000000,2044,1653,6.480740698408,1.553218276770,25.077965408763,68.096369186689,3.027632975388,2113.800628549186
15.811388300842,0.000000000000,2044,498,6.633249580711,1.219544295263,35.477337527424,88.824604873142,37.699377682394,4154.070072615671
15.811388300842,0.000000000000,2044,1335,6.782329983125,1.000277337946,18.449250115186,54.641543023135,5.589423433908,2984.083226756107
15.811388300842,0.000000000000,2044,97,7.071067811865,1.000000000000,35.932569672638,4.968035680054,45.078818796508,5541.450562651351
15.811388300842,0.000000000000,2044,1401,7.483314773548,1.678414804448,37.858535130548,9.879185826022,76.659445135141,3897.811900252033
15.811388300842,0.000000000000,2044,1510,7.615773105864,1.749688187460,32.962495224380,17.421748707376,68.707494806185,4733.562429565493
15.811388300842,0.000000000000,2044,12,7.745966692415,1.000000000000,34.990546936095,12.098229679504,78.035428661763,3745.199664005850
15.811388300842,0.000000000000,2044,472,7.874007874012,1.271948299114,2.768166029226,21.062109621748,22.888805783117,3635.626076234642
15.811388300842,0.000000000000,2044,1834,7.874007874012,1.803060300951,28.061875044328,6.312985252056,34.303483818583,4825.907489778873
15.811388300842,0.000000000000,2044,486,8.000000000000,1.177634764412,38.344436492965,97.878984854310,57.173031592402,3301.817143720757
15.811388300842,0.000000000000,2044,1646,8.246211251235,1.379554467055,40.899095874946,67.511882872891,60.351700933992,4162.168450642382
15.811388300842,0.000000000000,2044,742,8.485281374239,1.869090348387,27.697643926718,63.330338325382,3.741407177969,2046.073411394916
15.811388300842,0.000000000000,2044,318,8.602325267043,1.375542500147,7.854540121096,48.671347706829,3.684221038835,2827.270518876886
15.811388300842,0.000000000000,2044,820,8.602325267043,1.461812023177,11.727770198863,86.131065310062,3.625167210569,2668.623848551072
15.811388300842,0.000000000000,2044,1157,8.602325267043,1.662781202925,23.968716363618,14.756968530124,70.577772476331,4625.459158725722
15.811388300842,0.000000000000,2044,1192,8.602325267043,1.409736998216,14.161917598722,37.598468947165,3.372536112958,2372.073477783968
15.811388300842,0.000000000000,2044,1412,8.602325267043,1.225681398271,10.355577518267,32.794838083457,4.870195186659,3562.115422588496
15.811388300842,0.000000000000,2044,1760,8.602325267043,213.679298643489,32.003191067620,3.548200545759,60.401843216527,7715.761789421423
15.811388300842,0.000000000000,2044,1113,8.717797887081,1.290499411051,7.047023345386,9.663619223247,21.676642575942,3251.921640376735
15.811388300842,0.000000000000,2044,543,8.831760866328,1.033190604618,34.285742541220,63.781002977575,3.600534519993,2997.499749623423
15.811388300842,0.000000000000,2044,623,8.831760866328,1.861584492322,19.934625993211,27.491873964923,3.311827246510,2151.668848766946
15.811388300842,0.000000000000,2044,1158,8.831760866328,1.596812934478,19.482124336041,7.213329516439,65.129187206413,4490.921917724560
15.811388300842,0.000000000000,2044,342,8.944271909999,0.836143355496,24.586898449287,50.791521075827,22.624162277556,3865.223618565575
15.811388300842,0.000000000000,2044,126,9.273618495496,4.258561328193,27.782412489600,87.599489019845,3.876987771800,2865.497003247757
15.811388300842,0.000000000000,2044,438,9.273618495496,1.010212998546,17.006173231530,14.158487663846,22.354761344244,3748.551889792350
