epsilon,pAcc,t,ts,rhos,weight,nest_quality_assessment_error,percentage_foragers,number_nests_dbl,exploring_phase_dbl
40.286474156967,0.000000000000,2524,1184,14.628738838328,0.456549276626,27.777326749927,88.575550117244,6.365310365685,1549.721985394068
40.286474156967,0.000000000000,2524,1412,16.552945357247,0.709253821721,41.572883378927,93.035182920021,7.667374135856,1033.643341955546
40.286474156967,0.000000000000,2524,1692,17.720045146669,0.428075589999,27.848891041703,58.089297213754,6.385656659566,1092.342502918864
40.286474156967,0.000000000000,2524,1249,18.761663039294,0.649469500680,26.461409621740,5.181971594755,72.533927426944,1346.228004318341
40.286474156967,0.000000000000,2524,412,19.235384061671,0.636751194253,42.401542000709,6.372530264452,64.062229572923,1773.130517927265
40.286474156967,0.000000000000,2524,978,19.339079605814,0.482611552182,33.948726736598,98.810343074802,7.191257021021,1360.333031942022
40.286474156967,0.000000000000,2524,1636,21.023796041629,0.420369494857,11.848047178515,58.453401904352,6.578272423167,1406.688123841517
40.286474156967,0.000000000000,2524,202,22.605309110915,1.404203489486,49.445266581042,36.757522860829,39.830904200177,1426.423715321526
40.286474156967,0.000000000000,2524,732,23.409399821439,0.599925727438,22.351737557925,33.286294538695,7.423374851461,1137.566349746334
40.286474156967,0.000000000000,2524,2284,23.494680248941,0.394436524881,30.811417697475,17.520690561329,42.091111919533,1815.645994483707
40.286474156967,0.000000000000,2524,1081,23.769728648009,0.315212381788,29.013012787755,58.384416242391,50.865289007225,1784.976326282385
40.286474156967,0.000000000000,2524,420,23.958297101422,0.781805741131,1.120491086204,53.335104044504,6.370949827428,1128.988333735682
40.286474156967,0.000000000000,2524,2449,24.166091947189,0.610943417989,32.004637742321,98.682835029130,6.619515023490,1148.170684582275
40.286474156967,0.000000000000,2524,1945,24.331050121193,0.563218707454,30.448488489161,33.501664884051,6.274484863582,1016.724886276565
40.286474156967,0.000000000000,2524,1184,24.698178070457,0.535231378930,42.331385228350,25.079050816339,18.025524321747,1795.537865635660
